Date,VIX_VIX3M_Ratio,VIX_Close,SPX_Close,Skew,RF_Rate,Bid_Ask_Spread,SPX_Ret,realized_var,implied_var,vrp,Daily_RF,regime
2008-02-05,1.0463134494257131,28.24,2102.23,112.01,2.167,0.0001489979885272,-0.0324240920245579,0.0657288415955155,0.0797497599999999,0.0140209184044844,8.599206349206348e-05,1.0
2008-02-06,1.0492575153929735,28.97,2087.05,111.93,2.09,7.518514341559268e-05,-0.0072471004269608,0.0655219420364648,0.08392609,0.0184041479635351,8.293650793650792e-05,1.0
2008-02-07,1.0344053851907256,27.66,2104.02,112.71,2.193,0.0002984629159826,0.0080982148914153,0.063782655654922,0.07650756,0.0127249043450779,8.702380952380953e-05,1.0
2008-02-08,1.0351071692535108,28.01,2095.21,111.71,2.223,7.515124187420362e-05,-0.0041960135196801,0.0606778364743069,0.07845601,0.017778173525693,8.821428571428572e-05,1.0
2008-02-11,1.0348706411698538,27.6,2107.65,114.57,2.254,-7.474679523108649e-05,0.0059197957242954,0.0601887177389625,0.076176,0.0159872822610374,8.944444444444444e-05,1.0
2008-02-12,1.008425890463424,26.33,2123.06,113.97,2.29,7.410426470036611e-05,0.0072848614769842,0.059695557901619,0.0693268899999999,0.0096313320983809,9.087301587301588e-05,1.0
2008-02-13,0.9837880585211546,24.88,2152.76,116.25,2.265,0.0001465953236092,0.0138922955892712,0.0607819238856346,0.0619014399999999,0.0011195161143653,8.988095238095238e-05,1.0
2008-02-14,1.0027483313702394,25.54,2123.94,114.19,2.285,7.401650568090986e-05,-0.0134778854114542,0.0554358904781546,0.06522916,0.0097932695218453,9.067460317460318e-05,1.0
2008-02-15,0.9834905660377358,25.02,2125.85,112.03,2.192,0.0002219509488403,0.0008988680045841,0.0552049466967821,0.06260004,0.0073950933032178,8.6984126984127e-05,1.0
2008-02-19,1.0047114252061249,25.59,2124.12,113.57,2.223,7.373271889394216e-05,-0.0008141234387787,0.0442938766381145,0.06548481,0.0211909333618854,8.821428571428572e-05,1.0
2008-02-20,0.989055533036076,24.4,2141.95,112.24,2.229,0.0002206612482071,0.0083590301237826,0.0443588624845203,0.059536,0.0151771375154796,8.845238095238095e-05,1.0
2008-02-21,1.0011956954962136,25.12,2115.13,112.44,2.193,0.000222642769676,-0.0126003527523695,0.0448413770600025,0.06310144,0.0182600629399974,8.702380952380953e-05,1.0
2008-02-22,0.9860655737704918,24.06,2132.02,113.58,2.192,0.0,0.0079536107922959,0.0402694998900687,0.0578883599999999,0.0176188601099312,8.6984126984127e-05,1.0
2008-02-25,0.9623903050564148,23.03,2161.51,113.42,2.182,0.0002913752913754,0.0137371644090503,0.0413104006488068,0.05303809,0.0117276893511931,8.658730158730159e-05,1.0
2008-02-26,0.9476417135439203,21.9,2176.48,112.39,2.105,7.22517250098689e-05,0.006901841371295,0.0379119984371133,0.0479609999999999,0.0100490015628866,8.353174603174603e-05,1.0
2008-02-27,0.9577880962431404,22.69,2175.0,111.61,1.967,0.000144749221973,-0.0006802283623354,0.0347587834388716,0.05148361,0.0167248265611283,7.805555555555555e-05,1.0
2008-02-28,0.9687114038699054,23.53,2155.8,111.33,1.905,-0.0002923121894184,-0.0088667801752563,0.0355203652797843,0.05536609,0.0198457247202156,7.55952380952381e-05,1.0
2008-02-29,1.0056839712012124,26.54,2097.48,110.19,1.843,7.47523827321316e-05,-0.0274252602125326,0.0445854453348581,0.0704371599999999,0.0258517146651418,7.313492063492063e-05,1.0
2008-03-03,1.0076687116564418,26.28,2098.64,110.4,1.648,7.492039707803638e-05,0.0005528917331008,0.0405597611506592,0.06906384,0.0285040788493407,6.539682539682539e-05,1.0
2008-03-04,0.9906832298136644,25.52,2091.42,110.07,1.654,0.0002256742016775,-0.0034462547771611,0.0380908669587205,0.06512704,0.0270361730412794,6.563492063492064e-05,1.0
2008-03-05,0.9875551987153754,24.6,2103.42,110.24,1.495,0.000224156610752,0.0057213303647354,0.0378922704806879,0.060516,0.022623729519312,5.9325396825396834e-05,1.0
2008-03-06,1.0203703703703704,27.55,2057.44,110.46,1.362,0.0002288416796979,-0.0221020999335417,0.0311314338896224,0.07590025,0.0447688161103776,5.4047619047619046e-05,1.0
2008-03-07,1.0140169679085207,27.49,2040.17,110.28,1.444,0.0,-0.0084293538225626,0.0313335643888053,0.0755700099999999,0.0442364456111946,5.73015873015873e-05,1.0
2008-03-10,1.0370631839039888,29.38,2008.71,109.89,1.331,0.000312744331509,-0.0155404127272527,0.0325704881683583,0.08631844,0.0537479518316416,5.281746031746032e-05,1.0
2008-03-11,1.0103487926408583,26.36,2083.36,112.71,1.48,0.0001507159005275,0.0364892500081048,0.0503951949115799,0.06948496,0.01908976508842,5.873015873015873e-05,1.0
2008-03-12,0.9945195469492144,27.22,2065.21,111.47,1.413,0.0001523229246002,-0.0087500588406082,0.0506893728514768,0.07409284,0.0234034671485231,5.6071428571428575e-05,1.0
2008-03-13,1.004047093451067,27.29,2075.88,112.58,1.362,0.0,0.0051532440070762,0.0503005464283595,0.0744744099999999,0.0241738635716404,5.4047619047619046e-05,1.0
2008-03-14,1.061307901907357,31.16,2032.79,110.59,1.167,0.0001544043850843,-0.0209759264761331,0.0517428660781666,0.09709456,0.0453516939218333,4.630952380952381e-05,1.0
2008-03-17,1.0899256254225829,32.24,2014.88,113.51,1.004,0.0001559697418701,-0.0088495934132168,0.0507464253528106,0.10394176,0.0531953346471893,3.984126984126984e-05,1.0
2008-03-18,0.9915417147251055,25.79,2100.38,112.4,0.886,0.00029924440787,0.041558640465023,0.0740780030284154,0.06651241,-0.0075655930284153,3.515873015873016e-05,1.0
2008-03-19,1.036831132731063,29.84,2049.4,113.11,0.565,0.0002303174542244,-0.0245712133569419,0.0809945675824778,0.0890425599999999,0.0080479924175221,2.242063492063492e-05,1.0
2008-03-20,0.9754488823744962,26.62,2098.46,113.71,0.575,0.0003026405387,0.0236566749921454,0.0876825745500014,0.07086244,-0.0168201345500014,2.2817460317460315e-05,1.0
2008-03-24,0.9911402157164868,25.73,2130.62,114.56,1.075,7.419223207323445e-05,0.0152092748024047,0.0888172659031266,0.06620329,-0.0226139759031266,4.265873015873015e-05,1.0
2008-03-25,0.9824293353705118,25.72,2135.54,114.87,1.285,0.0001483789598635,0.0023065249222829,0.0881175362129289,0.0661518399999999,-0.0219656962129289,5.099206349206349e-05,1.0
2008-03-26,0.9800826756858324,26.08,2116.93,112.08,1.27,0.0001501952538298,-0.0087526161532179,0.0864461049336332,0.0680166399999999,-0.0184294649336332,5.0396825396825395e-05,1.0
2008-03-27,0.9847792998477928,25.88,2093.11,111.78,1.27,0.0003013182674201,-0.0113159277247458,0.0868046065071922,0.0669774399999999,-0.0198271665071922,5.0396825396825395e-05,1.0
2008-03-28,0.9798018292682928,25.71,2076.56,110.78,1.372,0.0001520218911521,-0.0079383197762631,0.0872209986976659,0.06610041,-0.0211205886976659,5.444444444444445e-05,1.0
2008-03-31,0.9988299531981278,25.61,2088.42,110.36,1.321,0.0003032140691327,0.0056951207717597,0.0873211719693788,0.0655872099999999,-0.0217339619693788,5.242063492063492e-05,1.0
2008-04-01,0.960609911054638,22.68,2163.38,111.31,1.398,0.0003657778265482,0.0352640142460681,0.0935436866789611,0.05143824,-0.0421054466789611,5.547619047619047e-05,1.0
2008-04-02,0.9641975308641976,23.43,2159.63,112.08,1.372,0.0001462522851918,-0.0017349027370234,0.0936595472006881,0.05489649,-0.0387630572006881,5.444444444444445e-05,1.0
2008-04-03,0.9622719734660032,23.21,2162.46,111.88,1.393,7.299003685990223e-05,0.0013095518161059,0.0933544488197808,0.05387041,-0.0394840388197808,5.527777777777778e-05,1.0
2008-04-04,0.9545068027210885,22.45,2164.21,111.48,1.372,0.0001461240593262,0.000808936246781,0.0931326790130264,0.05040025,-0.0427324290130264,5.444444444444445e-05,1.0
